"ID","TIPO_HABIT","TIPO_HAB2","NBI","SUP","HOGARES","PERSONAS","x100H_CUANT","x100H_CUALI","MIG_BOL","MIG_PAR","MIG_PER","V_0-5","V_5-10","V_10-15","V_15-20","V_20-25","V_25-30","V_30-35","V_35-40","V_40-45","V_45-50","V_50-55","V_55-60","V_60-65","V_65-70","V_70-75","V_80-85","V_75-80","V_85-90","V_+95","V_90-95","M_0-5","M_5-10","M_10-15","M_15-20","M_20-25","M_25-30","M_30-35","M_35-40","M_40-45","M_45-50","M_50-55","M_55-60","M_60-65","M_65-70","M_70-75","M_75-80","M_80-85","M_85-90","M_90-95","M_+95"
"020130302","Residencial alto","Residencial alto",0.0111111111111111,0.134110787172012,270,585,3.33333333333333,9.62962962962963,0,2,4,-11,-8,-13,-7,-23,-20,-35,-33,-18,-25,-18,-12,-11,-13,-9,-4,-4,-3,0,0,17,16,11,16,23,24,41,20,19,20,20,17,16,13,11,12,8,10,3,1
"020131101","Residencial alto","Residencial alto",0.0406976744186047,0.0897435897435897,172,495,6.97674418604651,4.06976744186047,1,5,5,-9,-16,-20,-26,-16,-9,-8,-9,-14,-12,-19,-13,-14,-11,-11,-6,-11,-2,0,0,8,13,13,20,13,11,11,15,20,17,25,20,19,15,15,15,10,5,4,0
"020130104","Residencial alto","Residencial alto",0.00817438692098093,0.150115473441109,367,763,13.8964577656676,10.8991825613079,2,5,16,-23,-17,-17,-19,-29,-31,-50,-38,-35,-25,-17,-14,-14,-13,-7,-11,-10,-7,-1,-1,22,9,8,18,23,36,62,35,27,17,21,15,23,23,11,17,9,5,2,1
"020130103","Residencial alto","Residencial alto",0.0155038759689922,0.197674418604651,258,612,2.71317829457364,3.48837209302326,3,7,4,-21,-12,-10,-9,-21,-20,-28,-22,-11,-16,-20,-22,-29,-15,-11,-9,-7,-2,0,-1,18,13,7,15,14,25,23,23,19,12,30,37,26,16,11,19,10,5,3,0
"020130102","Residencial alto","Residencial alto",0.0145772594752187,0.191747572815534,343,770,3.49854227405248,8.45481049562682,1,4,0,-19,-13,-22,-17,-25,-19,-29,-31,-30,-35,-22,-24,-27,-20,-14,-7,-13,-5,0,-1,22,11,20,18,21,29,30,26,24,36,27,25,20,19,17,21,15,8,8,0
"020130105","Residencial alto","Residencial alto",0.0166270783847981,0.153409090909091,421,835,7.36342042755344,4.75059382422803,3,1,7,-29,-17,-9,-13,-22,-23,-41,-61,-56,-36,-23,-21,-18,-11,-5,-3,-6,-7,0,-1,44,24,10,13,23,30,62,68,27,23,20,23,17,14,5,16,10,3,1,0
"020130101","Residencial alto","Residencial alto",0.00337837837837838,0.133704735376045,296,719,2.02702702702703,4.72972972972973,1,16,1,-14,-13,-16,-18,-31,-22,-25,-22,-27,-24,-20,-17,-13,-13,-12,-8,-11,-8,0,-1,17,18,19,21,28,24,27,31,20,29,26,22,29,21,16,22,14,17,3,0
"020120405","Residencial alto","Residencial alto",0.00803212851405622,0.231511254019293,249,606,8.43373493975904,10.4417670682731,0,6,0,-10,-22,-16,-25,-25,-24,-20,-21,-15,-19,-22,-19,-11,-8,-13,-6,-4,-2,0,-1,10,11,17,15,23,15,24,19,28,20,23,28,20,18,21,16,10,4,1,0
"020130110","Residencial alto","Residencial alto",0,0.185185185185185,314,709,8.59872611464968,8.59872611464968,1,2,6,-18,-12,-12,-22,-20,-21,-34,-29,-23,-21,-19,-19,-26,-15,-20,-9,-14,-6,0,-1,17,6,3,17,17,25,29,25,24,18,25,26,32,28,30,20,16,8,1,1
"020130107","Residencial alto","Residencial alto",0,0.16,185,509,2.7027027027027,10.2702702702703,0,7,0,-12,-13,-10,-26,-19,-21,-12,-8,-11,-19,-11,-20,-19,-10,-16,-4,-5,-3,0,-1,8,14,14,13,20,13,10,18,18,28,14,21,20,13,14,7,14,5,4,1
"020130106","Residencial alto","Residencial alto",0.00259067357512953,0.142011834319527,386,882,15.5440414507772,12.6943005181347,1,11,4,-32,-25,-19,-23,-26,-39,-45,-47,-28,-36,-25,-21,-18,-22,-11,-3,-10,0,0,0,21,23,23,22,25,35,50,48,34,23,31,22,32,15,17,9,9,10,2,1
"020130109","Residencial alto","Residencial alto",0.00921658986175115,0.142222222222222,217,456,10.5990783410138,5.06912442396313,2,4,0,-9,-6,-7,-21,-14,-15,-17,-14,-15,-9,-16,-13,-14,-12,-8,-11,-10,-6,0,-2,8,3,9,7,20,16,16,23,12,14,14,11,17,22,13,10,13,6,2,1
"020130111","Residencial alto","Residencial alto",0.01,0.150568181818182,300,660,14.6666666666667,10.6666666666667,0,10,2,-15,-15,-8,-10,-20,-31,-27,-26,-16,-18,-20,-14,-19,-24,-10,-2,-8,-2,0,0,22,12,12,11,22,32,32,23,28,17,21,29,26,21,20,15,19,8,4,1
"020120407","Residencial alto","Residencial alto",0.00601202404809619,0.164233576642336,499,1070,1.60320641282565,9.81963927855711,1,17,6,-34,-29,-27,-31,-24,-30,-38,-47,-38,-20,-26,-25,-19,-27,-14,-14,-18,-12,0,-2,29,33,17,20,31,46,61,51,39,37,39,27,30,44,31,23,23,7,7,0
"020120404","Residencial alto","Residencial alto",0.00677966101694915,0.123620309050773,295,835,7.11864406779661,12.2033898305085,0,5,5,-39,-26,-31,-29,-27,-35,-40,-19,-31,-34,-24,-19,-14,-20,-11,-8,-8,-3,0,-1,23,19,22,25,31,23,32,47,26,31,21,27,22,23,14,9,6,13,2,0
"020130108","Residencial alto","Residencial alto",0.029045643153527,0.168582375478927,241,538,3.3195020746888,6.63900414937759,0,1,1,-15,-18,-9,-14,-22,-19,-24,-20,-10,-15,-21,-16,-9,-17,-7,-10,-4,-6,-3,-1,18,3,16,13,15,22,25,21,20,17,15,13,16,20,8,11,18,4,3,0
"020120402","Residencial medio","Residencial medio",0.0418118466898955,0.105,287,788,10.801393728223,21.602787456446,2,8,2,-23,-22,-32,-24,-30,-25,-28,-35,-18,-28,-33,-21,-25,-11,-8,-9,-10,-4,0,0,18,19,21,23,25,36,30,30,23,16,35,32,15,18,20,17,17,4,2,1
"020120401","Residencial medio","Residencial medio",0,0.130434782608696,277,769,12.9963898916968,7.22021660649819,4,8,0,-22,-13,-16,-32,-43,-30,-28,-28,-20,-20,-31,-29,-21,-18,-9,-4,-9,-4,0,0,12,15,10,28,22,22,24,34,15,32,34,35,25,23,17,18,14,6,5,1
"020130112","Residencial alto","Residencial alto",0.0040650406504065,0.19047619047619,246,539,5.28455284552845,9.34959349593496,2,7,2,-16,-15,-11,-8,-13,-18,-33,-18,-24,-14,-14,-18,-15,-9,-9,-6,-4,-3,0,-3,11,11,11,9,9,24,22,31,20,16,10,23,14,20,13,13,18,6,5,2
"020120303","Residencial medio","Residencial medio",0.00740740740740741,0.131840796019901,270,801,4.07407407407407,12.962962962963,1,10,10,-14,-23,-27,-28,-31,-24,-26,-27,-30,-19,-30,-25,-18,-11,-15,-8,-5,-5,0,-1,20,29,24,29,25,23,35,27,32,31,27,24,25,26,15,18,13,6,4,1
"020130205","Residencial alto","Residencial alto",0.0121212121212121,0.138766519823789,330,783,14.2424242424242,7.87878787878788,1,6,7,-27,-23,-20,-17,-17,-30,-33,-40,-31,-40,-15,-26,-25,-23,-10,-2,-11,-2,0,0,37,12,17,17,17,26,43,39,27,22,24,22,32,18,12,12,6,7,1,0
"020120406","Residencial medio","Residencial medio",0.00673400673400673,0.148825065274151,297,758,3.03030303030303,14.4781144781145,7,4,2,-21,-19,-17,-15,-31,-35,-21,-25,-19,-27,-19,-22,-15,-23,-14,-6,-7,-3,-1,-2,25,10,17,27,21,42,31,25,21,22,36,31,20,19,17,18,21,9,2,2
"020130113","Residencial alto","Residencial alto",0.00408163265306122,0.180124223602484,245,622,4.48979591836735,4.89795918367347,2,4,7,-18,-16,-13,-19,-19,-30,-21,-20,-20,-18,-12,-21,-17,-14,-13,-7,-4,-1,0,0,10,20,13,15,23,24,26,26,24,15,27,27,26,21,14,9,10,8,1,0
"020130204","Residencial alto","Residencial alto",0.0125523012552301,0.166189111747851,239,666,5.43933054393305,17.9916317991632,0,7,1,-15,-19,-18,-25,-26,-22,-18,-24,-18,-25,-21,-21,-23,-18,-11,-11,-6,-1,0,0,22,14,22,20,18,23,21,29,18,29,20,32,28,10,8,11,10,5,4,0
"020130211","Residencial alto","Residencial alto",0,0.16,293,613,1.70648464163823,7.50853242320819,0,4,1,-28,-12,-13,-12,-13,-23,-37,-41,-19,-32,-16,-21,-12,-16,-6,-1,-2,-1,0,0,22,18,10,15,17,19,45,38,27,13,19,14,17,15,3,7,2,5,2,0
"020120403","Residencial alto","Residencial alto",0,0.169911504424779,418,1073,9.09090909090909,16.7464114832536,1,7,3,-35,-33,-27,-36,-30,-34,-51,-48,-40,-30,-33,-27,-18,-18,-17,-13,-8,-9,0,0,26,29,25,34,41,27,60,42,38,36,37,22,37,26,23,29,17,11,4,2
"020120302","Residencial medio","Residencial medio",0,0.0642458100558659,249,696,10.4417670682731,14.4578313253012,1,26,8,-19,-14,-23,-22,-19,-24,-23,-22,-15,-22,-24,-22,-28,-9,-20,-7,-12,-3,0,0,15,19,12,24,19,20,29,22,29,21,21,32,24,19,24,11,15,10,1,1
"020130202","Residencial alto","Residencial alto",0.00278551532033426,0.146443514644351,359,860,9.19220055710306,11.142061281337,0,14,4,-25,-12,-22,-23,-29,-34,-45,-24,-34,-29,-23,-30,-27,-19,-11,-8,-9,-4,0,0,20,9,21,17,33,46,39,34,22,28,29,44,29,25,19,14,11,8,4,0
"020130114","Residencial medio","Residencial medio",0.0989399293286219,0.179487179487179,283,538,9.89399293286219,15.1943462897526,0,9,1,-14,-10,-8,-12,-15,-23,-27,-21,-19,-13,-11,-19,-13,-9,-4,-6,-7,-5,0,0,13,9,9,10,11,19,42,24,24,14,19,18,15,20,19,12,15,7,2,0
"020120301","Conjunto Habitacional","Conjunto Habitacional",0.00961538461538462,0.109243697478992,104,232,1.92307692307692,14.4230769230769,0,3,0,-5,-4,-7,-8,-13,-8,-13,-9,-8,-5,-6,-1,-9,-5,-3,-2,-3,-1,0,-1,2,6,2,4,8,9,8,10,5,1,9,11,13,10,3,13,3,3,1,0
"020120408","Residencial alto","Residencial alto",0.0380622837370242,0.148883374689826,289,785,8.99653979238754,17.6470588235294,0,3,8,-25,-23,-36,-26,-22,-31,-21,-26,-23,-29,-34,-21,-13,-16,-7,-7,-8,-4,0,-3,18,31,22,19,23,36,20,38,34,34,24,33,16,16,8,19,13,3,3,0
"020130206","Residencial alto","Residencial alto",0.0148936170212766,0.177364864864865,470,949,4.8936170212766,7.23404255319149,0,14,3,-25,-26,-21,-13,-21,-45,-77,-50,-37,-30,-34,-20,-23,-15,-9,-8,-5,-4,0,-2,27,21,17,16,19,61,61,55,34,32,23,25,21,21,11,17,11,6,2,4
"020120304","Residencial medio","Residencial medio",0.0373134328358209,0.105651105651106,268,787,8.58208955223881,14.5522388059701,0,4,1,-18,-24,-34,-21,-22,-31,-20,-30,-33,-23,-33,-23,-16,-8,-9,-7,-13,-5,0,-3,24,22,22,29,26,26,31,26,36,28,26,17,27,11,19,16,15,7,4,2
"020130207","Residencial alto","Residencial alto",0.00333333333333333,0.172222222222222,300,667,3.33333333333333,4.33333333333333,0,5,1,-19,-22,-17,-15,-14,-29,-35,-38,-26,-13,-11,-17,-17,-15,-13,-8,-7,-4,0,-2,22,12,9,10,16,28,42,29,19,12,18,27,24,26,19,9,16,5,2,0
"020130201","Residencial medio","Residencial medio",0.0697247706422018,0.143572621035058,545,1060,10.6422018348624,13.5779816513761,1,12,39,-30,-19,-17,-21,-27,-46,-61,-64,-19,-29,-28,-31,-23,-23,-22,-13,-12,-4,0,-1,35,18,20,14,20,45,67,51,37,35,32,27,36,37,27,21,25,17,6,0
